Area (m²),Elevation (m),Volume (m³)
945.4803980788452,3186.9312,945.4803980788452
945.4803980788452,3187.9312,2363.700995197113
1890.9607961576903,3188.9312,5200.142189433649
3781.9215923153806,3189.9312,9927.544179827875
5672.882388473071,3190.9312,16073.166767340368
6618.362786551916,3191.9312,23164.26975293171
7563.843184630761,3192.9312,31200.853136601894
8509.323582709607,3193.9312,42073.87771450861
13236.725573103833,3194.9312,56728.823884730715
16073.166767340368,3195.9312,84147.75542901723
38764.69632123265,3196.9312,151749.60389165464
96439.0006040422,3197.9312,302553.7273852304
205169.2463831094,3198.9312,573906.601633859
337536.5021141477,3199.9312,964862.7462394615
444375.7870970572,3200.9312,1470694.7592116436
567288.238847307,3201.9312,2083838.7973657746
658999.837460955,3202.9312,2822258.9882653523
817840.5443382009,3203.9312,3714792.484051782
967226.4472346585,3204.9312,4732129.392384619
1067447.369431016,3205.9312,5847796.262117657
1163886.3700350584,3206.9312,7054229.250066264
1248979.6058621544,3207.9312,8346700.954240045
1335963.8024854083,3208.9312,9723793.154041883
1418220.5971182678,3209.9312,11187869.550466973
1509932.1957319158,3210.9312,12746493.98669995
1607316.6767340368,3211.9312,14396357.281347536
1692409.9125611328,3212.9312,16149750.679584753
1814376.8839133037,3213.9312,18024638.308975104
1935398.374867396,3214.9312,20049384.581460953
2114094.170104298,3215.9312,22274099.958140478
2335336.5832547476,3216.9312,24722421.448965646
2561306.3983955914,3217.9312,27395294.53433454
2784439.772342199,3218.9312,30292719.21424716
3010409.587483043,3219.9312,33431714.135868926
3267580.2557604886,3220.9312,36808497.377607524
3485986.227716702,3221.9312,40399904.66971002
3696828.3564882847,3222.9312,44203099.57098217
3909561.4460560246,3223.9312,48211463.71863744
4107166.8492545034,3224.9312,52414124.0880979
4298153.88966643,3225.9312,56823844.664737634
4521287.263613037,3226.9312,61434952.56616816
4700928.539248018,3227.9312,66237047.50801061
4903261.34443689,3228.9312,71235329.63245443
5093302.904450738,3229.9312,76426962.49830537
5289962.827251137,3230.9312,81808164.1839711
5472440.544080354,3231.9312,87366170.7040776
5643572.496132625,3232.9312,93093418.2154402
5810922.526592581,3233.9312,98992270.4190541
5986781.880635246,3234.9312,105054690.73153566
6138058.744327861,3235.9312,111265551.46651559
6283662.725632003,3236.9312,117619652.48180446
6424539.30494575,3237.9312,124112739.11561093
6561633.962667183,3238.9312,130745756.84833306
6704401.502777088,3239.9312,137530996.9251459
6866078.650848571,3240.9312,144471768.5274427
7015464.553745029,3241.9312,151573744.53761193
7188487.466593457,3242.9312,158823688.23008052
7311399.918343707,3243.9312,166217817.68325612
7476858.9880075045,3244.9312,173767478.6619157
7622462.969311647,3245.9312,181448088.6757092
7738757.058275345,3246.9312,189255865.8030443
7876797.196394856,3247.9312,197196482.92630947
8004437.0501355,3248.9312,205263321.68271816
8129240.462681907,3249.9312,213452127.41047904
8248370.992839842,3250.9312,221767154.77138343
8381683.728968959,3251.9312,230215022.1282179
8514050.984699998,3252.9312,238793838.5201863
8643581.7992368,3253.9312,247497458.3247011
8763657.809792815,3254.9312,256338645.5271364
8918716.595077746,3255.9312,265311254.50490463
9026501.360458734,3256.9312,274393539.20885
9138068.047432037,3257.9312,283586917.85956967
9248689.254007261,3258.9312,292883826.61387897
9345128.254611304,3259.9312,302262046.68242306
9411311.882476823,3260.9312,311704559.41803646
9473713.588750027,3261.9312,321193400.69315577
9503968.96148855,3262.9312,330709188.1596203
9527605.971440522,3263.9312,340239630.572255
9533278.853828995,3264.9312,349776691.34767634
9540842.697013626,3265.9312,359319425.00548613
9544624.618605942,3266.9312,368866413.32508725
9549352.020596337,3267.9312,378417183.5662807
9552188.461790573,3268.9312,387972208.4692655
9557861.344179045,3269.9312,397530542.5536436
9558806.824577125,3270.9312,407089822.11841977
9559752.304975204,3271.9312,416649574.423395
9559752.304975204,3272.9312,426209799.4685692
9560697.785373284,3273.9312,435770497.2539425
9560697.785373284,3274.9312,445331667.7795148
