name,e_mm
W1,-31.0425100043
W3,-33.0115104281
W21,-35.3323873254
W13,-33.2298557922
W27,-34.0229459720
W19,-33.9708768925
W2,-39.3189254111
W11,-35.3579385573
W26,-35.2005673368
W20,-37.6362823135
W6,-30.6085969236
W32,-36.7120771330
W12,-39.5369271762
W33,-32.5930179628
W14,-37.1298201666
W28,-35.1444972013
W23,-33.5536474349
W34,-35.1606629924
W37,-34.0876567016
W36,-35.3549251235
W10,-33.5030845921
W25,-34.3666438013
W4,-39.5901594243
W5,-39.1750945207
W29,-37.2213925298
W22,-36.3967922137
W17,-36.1642947346
W31,-33.7874785887
W7,-36.0041444962
W16,-34.9000315806
W24,-37.9578344291
W9,-34.9325081722
W15,-37.8283885524
W35,-38.0285762207
W8,-34.8764121422
W18,-34.4378999557
W30,-34.4037023361
