name,ro_mm
W1,6.0615400179
W3,10.7767044180
W21,10.5858729261
W13,6.9298566145
W27,7.9361563303
W19,14.7000443080
W2,29.0002305583
W11,19.9845513711
W26,13.0090652555
W20,18.7222414304
W6,4.9381109624
W32,13.5533215518
W12,24.5714773992
W33,8.6012556643
W14,29.0492000557
W28,22.8177156514
W23,16.1204017341
W34,22.8890179362
W37,20.0100383519
W36,45.0583266486
W10,28.9315698595
W25,43.7773678119
W4,44.0040497021
W5,75.1943216624
W29,66.5866481878
W22,56.9233596755
W17,55.4806200547
W31,43.8532060453
W7,57.7809926559
W16,47.1994309199
W24,87.4969528318
W9,258.1481634018
W15,100.2756469360
W35,93.3343436064
W8,146.9358320740
W18,252.9633644674
W30,205.8098400563
