name,tp_mm,ro_wrem_mm,e_mm,ro_mm,diff_wr_ro
W1,36.7085900646,5.6660800603,-31.0425100043,6.0615400179,-0.3954599576
W3,43.3224358512,10.3109254231,-33.0115104281,10.7767044180,-0.4657789949
W21,46.0445311277,10.7121438023,-35.3323873254,10.5858729261,0.1262708762
W13,40.1546157132,6.9247599210,-33.2298557922,6.9298566145,-0.0050966935
W27,41.7159845359,7.6930385639,-34.0229459720,7.9361563303,-0.2431177664
W19,48.1847806962,14.2139038037,-33.9708768925,14.7000443080,-0.4861405043
W2,67.8505930425,28.5316676314,-39.3189254111,29.0002305583,-0.4685629269
W11,55.1904430888,19.8325045315,-35.3579385573,19.9845513711,-0.1520468396
W26,47.9057707488,12.7052034120,-35.2005673368,13.0090652555,-0.3038618435
W20,56.2958713719,18.6595890584,-37.6362823135,18.7222414304,-0.0626523720
W6,35.8471631166,5.2385661930,-30.6085969236,4.9381109624,0.3004552306
W32,50.4287402578,13.7166631248,-36.7120771330,13.5533215518,0.1633415730
W12,64.2154503066,24.6785231304,-39.5369271762,24.5714773992,0.1070457312
W33,41.4344184261,8.8414004633,-32.5930179628,8.6012556643,0.2401447990
W14,66.2446521260,29.1148319594,-37.1298201666,29.0492000557,0.0656319037
W28,58.0349631245,22.8904659232,-35.1444972013,22.8177156514,0.0727502718
W23,49.8337910786,16.2801436437,-33.5536474349,16.1204017341,0.1597419096
W34,58.1215061259,22.9608431335,-35.1606629924,22.8890179362,0.0718251973
W37,54.2220638788,20.1344071772,-34.0876567016,20.0100383519,0.1243688253
W36,80.4239854440,45.0690603205,-35.3549251235,45.0583266486,0.0107336719
W10,62.4310057778,28.9279211857,-33.5030845921,28.9315698595,-0.0036486738
W25,78.1604364862,43.7937926849,-34.3666438013,43.7773678119,0.0164248730
W4,83.6314831033,44.0413236790,-39.5901594243,44.0040497021,0.0372739769
W5,114.5112799208,75.3361854001,-39.1750945207,75.1943216624,0.1418637377
W29,103.8909635437,66.6695710139,-37.2213925298,66.5866481878,0.0829228261
W22,93.3687583229,56.9719661092,-36.3967922137,56.9233596755,0.0486064337
W17,91.7021070652,55.5378123306,-36.1642947346,55.4806200547,0.0571922759
W31,77.6571196228,43.8696410341,-33.7874785887,43.8532060453,0.0164349888
W7,93.8378003662,57.8336558700,-36.0041444962,57.7809926559,0.0526632141
W16,82.1448807939,47.2448492133,-34.9000315806,47.1994309199,0.0454182934
W24,125.6471236094,87.6892891803,-37.9578344291,87.4969528318,0.1923363485
W9,293.4013025135,258.4687943413,-34.9325081722,258.1481634018,0.3206309395
W15,138.4182398676,100.5898513152,-37.8283885524,100.2756469360,0.3142043792
W35,131.6208688792,93.5922926585,-38.0285762207,93.3343436064,0.2579490521
W8,182.2505535965,147.3741414543,-34.8764121422,146.9358320740,0.4383093803
W18,287.6564967507,253.2185967950,-34.4378999557,252.9633644674,0.2552323276
W30,240.4013107300,205.9976083939,-34.4037023361,205.8098400563,0.1877683376
